Location name,Amount spent (TWD)
Changhua,7921
Chiayi,2150
Hsinchu,3837
Hsinchu City,6198
Hualien,4107
Kaohsiung,28720
Keelung City,3579
Kinmen,577
Lienchiang,≤100
Miaoli,4007
Nantou,3223
New Taipei City,42014
Penghu,660
Pingtung,5475
Taichung,30756
Tainan,18556
Taipei,32765
Taitung,1797
Taoyuan City,26583
Unknown,3829
Yilan,2917
Yunlin,5009
