Location name,Amount spent (CHF)
Aargau,235
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,158
Basel-Landschaft,882
Bern,288
Canton of Geneva,462
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,441
Fribourg,≤100
Graubünden,≤100
Jura,≤100
Luzern,≤100
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,155
Unknown,≤100
Uri,≤100
Valais,≤100
Vaud,257
Zug,≤100
Zürich,6803
