Location name,Amount spent (IDR)
Aceh,371616
Bali,1168753
Bangka–Belitung Islands,257123
Banten,1779349
Bengkulu,362724
Central Java,7125459
Central Kalimantan,440517
Central Sulawesi,521006
East Java,11489548
East Kalimantan,835751
East Nusa Tenggara,1155571
Gorontalo,436474
Jakarta,3805236
Jambi,531628
Lampung,1200096
Maluku,255856
North Kalimantan,112033
North Maluku,346745
North Sulawesi,1099882
North Sumatra,2977534
Papua (province),561206
Riau,1254685
Riau Islands Province,440455
South Kalimantan,458569
South Sulawesi,1223702
South Sumatra,1306807
Southeast Sulawesi,359632
Special Region of Yogyakarta,907757
Unknown,3769
West Java,6984888
West Kalimantan,732321
West Nusa Tenggara,874239
West Papua,199463
West Sulawesi,197721
West Sumatra,543733
