Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
108275365284886,Doc Tony Golez,Para Sa Bayan,60697,27
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,51924,13
107853288892129,Don Artes,RAM,9649,10
265779500134955,SM Supermalls,SM Supermalls,8159,2
128057147245421,San Mig Light,San Mig Light,6957,1
263066651005055,"Ramon Bong Revilla, Jr.","Ramon Bong Revilla, Jr.",5985,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,4256,2
100155158432600,The Health Center PH,The Best Healthctr Hub Ph,3754,4
495629064258114,Lolita Karen Javier,Amor U. Nacional,3536,7
547821942058909,Pilipinas Today,WFPH,2933,24
701517253228758,DOSTv,DOSTv,2845,8
109322002065194,EKIS,EKIS,2803,6
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,2613,1
330818486937353,John Dalipe - Page,John Dalipe - Page,2409,3
110906614080083,Ang Realidad PH,Clutchmedia,2293,2
242562552438872,DOST-STARBOOKS,DOST-STARBOOKS,2236,3
509834572400899,Nancy Binay,Maria Lourdes Nancy Binay Angeles,1841,2
103206424893248,Davao Consumer Movement,Davao Consumer Movement,1797,6
257830240980106,Ronnie Dadivas,Roxas City United,1723,4
220125414691980,Philusa Corporation,Philusa Corporation,1676,4
115769773456162,Political Circus of the Philippines,PBJ Mediaworks,1650,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,1486,1
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,1373,9
100985303377,Valenzuela City,Valenzuela City,1281,2
1485006188181879,WES Gatchalian,WES Gatchalian,1257,1
1380167115635985,LEDS Clothing,LEDS Clothing,1246,11
858312984260630,TOP Creamery,Top Creamery,1093,4
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,1060,2
100406438859954,Fight Illicit Trade,Fight Illicit Trade,1038,1
2101088876594734,MBS- Senior Deputy Speaker DOY Leachon,Ronalee Escondo Leachon,1034,7
126919387470670,Rufus B. Rodriguez,Rufus Bautista Rodriguez,1019,4
48688071399,Greenpeace Philippines,Greenpeace Philippines,1000,1
186667502068528,Larry De Costa,WFPH,973,10
121096004646927,"Pablo John ""PJ"" Garcia",Friends of PJ Garcia,972,4
386570178125149,Senator Win Gatchalian,Senator Win Gatchalian,933,1
104123408073601,"Nikki Prieto-Teodoro, Philippine Special Envoy to Unicef",Maria Lourdes Acosta Gammad,882,1
1759941490758280,Jerry Treñas,Ma. Ruthmar Ignacio Gabileo,850,17
112952897079549,Energy Development Corporation,Energy Development Corporation,821,5
154519977908138,Department of Social Welfare and Development,Department of Social Welfare and Development,806,2
