Location name,Amount spent (IDR)
Aceh,472539
Bali,1299189
Bangka–Belitung Islands,264194
Banten,1292856
Bengkulu,356810
Central Java,4768604
Central Kalimantan,374688
Central Sulawesi,477218
East Java,5507625
East Kalimantan,864708
East Nusa Tenggara,989650
Gorontalo,304810
Jakarta,2944387
Jambi,464526
Lampung,864872
Maluku,238827
North Kalimantan,140450
North Maluku,206769
North Sulawesi,1196929
North Sumatra,2980114
Papua (province),375797
Riau,1275922
Riau Islands Province,475054
South Kalimantan,452574
South Sulawesi,1128722
South Sumatra,1107897
Southeast Sulawesi,398193
Special Region of Yogyakarta,650683
Unknown,3401
West Java,5365391
West Kalimantan,786065
West Nusa Tenggara,715048
West Papua,185261
West Sulawesi,204627
West Sumatra,707712
