Location name,Amount spent (JPY)
Aichi Prefecture,101544
Akita Prefecture,1945
Aomori Prefecture,1362
Chiba Prefecture,17908
Ehime Prefecture,2479
Fukui Prefecture,2473
Fukuoka Prefecture,39232
Fukushima Prefecture,3081
Gifu Prefecture,8245
Gunma Prefecture,5176
Hiroshima Prefecture,5143
Hokkaido,9197
Hyōgo Prefecture,19233
Ibaraki Prefecture,7149
Ishikawa Prefecture,3712
Iwate Prefecture,1830
Kagawa Prefecture,2270
Kagoshima Prefecture,3773
Kanagawa Prefecture,33909
Kumamoto Prefecture,4135
Kyoto Prefecture,10117
Kōchi Prefecture,1124
Mie Prefecture,5329
Miyagi Prefecture,10862
Miyazaki Prefecture,3040
Nagano Prefecture,3696
Nagasaki Prefecture,7900
Nara Prefecture,3959
Niigata Prefecture,4765
Okayama Prefecture,4344
Okinawa Prefecture,6920
Osaka Prefecture,86241
Saga Prefecture,3427
Saitama Prefecture,17257
Shiga Prefecture,5039
Shimane Prefecture,1207
Shizuoka Prefecture,10535
Tochigi Prefecture,4884
Tokushima Prefecture,1428
Tokyo,66167
Tottori Prefecture,1041
Toyama Prefecture,2693
Unknown,≤100
Wakayama Prefecture,2448
Yamagata Prefecture,1625
Yamaguchi Prefecture,2410
Yamanashi Prefecture,1380
Ōita Prefecture,3204
