Location name,Amount spent (COP)
Amazonas,1813
Antioquia,7721940
Arauca,13262
Atlantico,417419
Bolivar,264700
Boyaca,120858
Caldas,347039
Caqueta,117311
Casanare,79409
Cauca,255253
Cesar,279239
Choco,16113
Cordoba,222859
Cundinamarca,594587
Distrito Especial,3078959
Guainia,917
Guaviare,7446
Huila,307583
La Guajira,40168
Magdalena,202918
Meta,604512
Narino,120890
Norte de Santander,1508800
Putumayo,113157
Quindio,86644
Risaralda,700904
San Andres y Providencia,5176
Santander,836630
Sucre,126489
Tolima,588323
Unknown,116
Valle del Cauca,3059848
Vaupes,300
Vichada,1097
