Location name,Amount spent (MXN)
Aguascalientes,8998
Baja California,34606
Baja California Sur,5663
Campeche,23280
Chiapas,19149
Chihuahua,24802
Coahuila de Zaragoza,298024
Colima,13593
Distrito Federal,171031
Durango,9693
Guanajuato,32855
Guerrero,11658
Hidalgo,10955
Jalisco,149635
Michoacán de Ocampo,41100
Morelos,20205
Nayarit,7976
Nuevo León,74692
Oaxaca,16466
Puebla,28637
Querétaro Arteaga,16007
Quintana Roo,61777
San Luis Potosi,15136
Sinaloa,20422
Sonora,33598
State of Mexico,388922
Tabasco,8969
Tamaulipas,27736
Tlaxcala,4643
Unknown,218
Veracruz,35745
Yucatán,30141
Zacatecas,6451
