Location name,Amount spent (PKR)
Azad Kashmir,1415
Balochistan,1942
Federally Administered Tribal Areas,306
Gilgit-Baltistan,600
Islamabad Capital Territory,4489
Khyber Pakhtunkhwa,9751
Punjab,41085
Sindh,16260
Unknown,≤100
