Location name,Amount spent (RON)
Alba County,307
Arad County,762
Argeș County,580
Bacău County,415
Bihor County,502
Bistrița-Năsăud County,239
Botoșani County,272
Brașov County,482
Brăila County,282
Bucharest,3098
Buzău County,291
Caraș-Severin County,206
Cluj County,912
Constanța County,676
Covasna County,174
Călărași County,165
Dolj County,591
Dâmbovița County,324
Galați County,475
Giurgiu County,182
Gorj County,324
Harghita County,345
Hunedoara County,656
Ialomița County,177
Iași County,1457
Ilfov County,448
Maramureș County,428
Mehedinți County,195
Mureș County,803
Neamț County,1168
Olt County,226
Prahova County,665
Satu Mare County,282
Sibiu County,355
Suceava County,490
Sălaj County,193
Teleorman County,212
Timiș County,620
Tulcea County,120
Unknown,≤100
Vaslui County,289
Vrancea County,370
Vâlcea County,260
