Location name,Amount spent (MXN)
Aguascalientes,8221
Baja California,17233
Baja California Sur,3360
Campeche,8687
Chiapas,12219
Chihuahua,17447
Coahuila de Zaragoza,28633
Colima,3346
Distrito Federal,135387
Durango,4728
Guanajuato,18982
Guerrero,6494
Hidalgo,7221
Jalisco,66162
Michoacán de Ocampo,19112
Morelos,11143
Nayarit,2766
Nuevo León,40740
Oaxaca,8627
Puebla,17275
Querétaro Arteaga,13568
Quintana Roo,10375
San Luis Potosi,11256
Sinaloa,7324
Sonora,15984
State of Mexico,139761
Tabasco,9085
Tamaulipas,18285
Tlaxcala,2811
Unknown,≤100
Veracruz,20369
Yucatán,38554
Zacatecas,3178
