Location name,Amount spent (SEK)
Blekinge County,3837
Dalarna County,8162
Gotland County,1909
Gävleborg County,8906
Halland County,7686
Jämtland County,4159
Jönköping County,9902
Kalmar County,6197
Kronoberg County,5311
Norrbotten County,7212
Skåne County,37997
Stockholm County,72075
Södermanland County,8142
Unknown,≤100
Uppsala County,11682
Värmland County,7717
Västerbotten County,7467
Västernorrland County,6590
Västmanland County,7270
Västra Götaland County,48336
Örebro County,8603
Östergötland County,13899
