Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,5580,37
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,4277,7
107217383988190,מגזין אפוק,Epoch Magazine,3151,16
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,1796,3
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,1686,10
1073548259341247,לובי 99,לובי 99,1352,6
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,1280,8
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,1220,5
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,1103,5
204780362875106,מקור ראשון,מקור ראשון,942,48
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,937,7
103428925850338,אבי סלמה - נתניה,אבי סלמה - נתניה,936,5
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,932,38
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",918,56
115456451553737,יונה יהב,יונה יהב,791,5
103085619445870,ניר ברכיה משרד עורכי דין,ניר ברכיה משרד עורכי דין,718,2
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,644,37
104346612722418,יוסי פרי לראשות עיריית הרצליה,יוסי פרי לראשות עיריית הרצליה,634,9
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,610,2
128834187134576,Ahmad Tibi احمد طيبي,Ahmad Tibi احمد طيبي,582,3
113257552029689,Israel Police - משטרת ישראל,Israel Police,567,1
518230731522883,Laura Wharton לורה ורטון,Laura Wharton לורה ורטון,565,7
1921160331531297,Act. تغيير اعلامي,סיכוי אופוק - سيكوي أفق,532,4
112848572066805,מחאת ההייטק,מחאת ההייטק,528,11
117658294683078,ישראלTop5,top5israel,516,6
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",513,10
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,493,46
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,473,1
219236568818575,גלית שאול - ראשת מועצת עמק חפר,גלית שאול - ראשת מועצת עמק חפר,473,3
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,473,5
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,467,3
502039876516834,משרד המשפטים,משרד המשפטים,408,1
433529446712013,Ayman Odeh - أيمن عودة,Ayman Odeh - أيمن عودة,397,1
106895605678077,מחאת המילואימניקים,מילואימניקים,375,1
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,356,23
723141737847411,ראובן לדיאנסקי,ראובן לדיאנסקי,351,3
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,347,3
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,318,6
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",302,11
1662907067255622,איגוד הגז הטבעי,Unik,300,2
130311209971965,יצחק קשת - ראש העיר שלי,יצחק קשת,291,2
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,284,9
380816475304653,Yuval zellner - יובל צלנר,Yuval zellner - יובל צלנר,284,6
146122195591636,שלומי לחיאני - בת ים בראש מורם,שלומי לחיאני - בת ים בראש מורם,282,17
321795461283120,גנאדי בורשבסקי,גנאדי בורשבסקי,276,4
218832864804823,הקריה האקדמית אונו - מינהל הציונות הדתית,הקריה האקדמית אונו - מנהל הציונות הדתית,271,6
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,268,9
562900707171914,ליעד אילני לראשות עיריית רמת-גן,סיעת רמת-גן שלנו,261,2
390174201363786,Eli Nacht • אלי נכט,Eli Nacht • אלי נכט,261,12
361464970647064,זהר בלום - Zohar Blum,זהר בלום - Zohar Blum,257,1
103345646135647,קול ערד,קול ערד,252,1
1514952655390958,משרד תומר ורשה - עורכי דין • הגירה והסדרת מעמד • אשרות בישראל • זכויות אדם,"משרד עו""ד תומר ורשה",247,7
193264714026809,אמונה - תנועת האישה הדתית לאומית,אמונה - תנועת האישה הדתית לאומית,245,5
108212852272431,ג'קי יעקב צבי,יעקב ג'קי צבי לראשות המועצה,243,4
101499376186375,עפרי רביב,עפרי רביב,236,11
2145340712350945,נעמה לזימי - Naama Lazimi,נעמה לזימי - Naama Lazimi,235,2
767262423350854,פורום הדיור הציבורי,פורום הדיור הציבורי,229,2
877405719007268,מכון ארגמן - Argaman Institute,מכון ארגמן,229,13
1954699454767994,שי זולדן - Shay Zoldan,שי זולדן,228,5
167657276622943,אראל מרגלית - Erel Margalit,אראל מרגלית - Erel Margalit,213,1
102396379571730,מעשים טובים,מעשים טובים,212,6
151429721541665,Dan Illouz -  דן אילוז,Dan Illouz -  דן אילוז,212,15
155237077282,מגמה ירוקה - Green Course,מגמה ירוקה - Green Course,211,12
112779795076593,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,211,4
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,209,3
100869341561907,תוצרת הארץ • הביטחון הלאומי שלנו,תוצרת הארץ • הביטחון הלאומי שלנו,206,2
100900832922166,אחים לנשק-לוחמים ולוחמות במסע להצלת הדמוקרטיה,אחים לנשק-לוחמים ולוחמות במסע להצלת הדמוקרטיה,202,2
638721842824344,עליזה בלוך,עליזה בלוך,199,4
347519992380551,אביעד סיני לראשות מועצת פרדס חנה כרכור,אביעד סיני לראשות מועצת פרדס חנה כרכור,198,1
120240631007633,הילה לנקרי-מיוסט,הילה לנקרי-מיוסט,197,5
104404418153739,דנית ברביבאי,דנית ברביבאי,193,3
1828669360700280,דרך שירה בנקי - shira banki's way,Shira Banki's Way - דרך שירה בנקי,192,13
622545034511462,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,190,2
112933168448095,בת שבע אבוחצרה - לראשות העיר כרמיאל,בת שבע אבוחצרה - לראשות העיר כרמיאל,188,4
615531405455497,הדר לביא,הדר לביא,188,8
124894077550811,ישראל חופשית,ישראל חופשית,187,4
102538596209008,יאיר שטבון - לראשות העיר אריאל,lior shapira,187,6
102524746200583,רחמים מלול - ראש עיריית רחובות,רחמים מלול,187,4
107107231197546,אלון אזולאי -Alon Azulay,אלון אזולאי -Alon Azulay,187,5
105744449044010,Алон Азулай,Алон Азулай,187,2
500238833397356,ציפי ברנד,ציפי ברנד,183,3
103766122741406,ליאור איובי - לראשות המועצה האזורית שפיר,lior ayubi,177,3
1900748410047113,סיגל שאלתיאל הלוי לראשות מועצת מעלה יוסף,סיגל שאלתיאל הלוי לראשות מועצת מעלה יוסף,175,4
645460249284616,דינמיקלאס - DynamiClass,DynamiClass,175,1
113920975088292,טוב לדעת,טוב לדעת,174,1
104222621115858,הביטחוניסטים,הביטחוניסטים,173,9
104540012690001,אלדר סיון לראשות מ.א. עמק יזרעאל,אלדר סיון לראשות מ.א. עמק יזרעאל,171,3
105934298594064,יוסי כהן - Yossi Cohen,יוסי כהן - Yossi Cohen,171,3
110666185245278,יעלה - דרך חדשה לראשות מ.א. מגידו,יעלה - דרך חדשה לראשות מ.א. מגידו,169,3
2087629251480875,רונן מרלי - Ronen Marelly,רונן מרלי - Ronen Marelly,167,1
107110828789769,רוני בריק,רוני בריק,167,1
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,161,1
107058789108097,יאיר מעיין - Yair Maayan,יאיר מעיין,158,5
110927093853286,رئيس مجلس عبلين المحلي : مأمون الشيخ,رئيس مجلس عبلين المحلي : مأمون الشيخ,155,2
1824323844461002,יקיר שינדלר,יקיר שינדלר,154,1
105080511469642,יהודה הרוש - Yehuda Harush,יהודה הרוש - Yehuda Harush,153,1
100726719689553,ליאת גרוסמן תמיר,ליאת גרוסמן תמיר,151,1
179034435458425,פנאי העיר חדרה,פנאי העיר חדרה,151,8
531891887148785,הראל שהם - Harel shoham,הראל שהם - Harel shoham,150,1
160119221434385,דוד עציוני -ראש העיר חיפה,דוד עציוני -ראש העיר חיפה,146,1
113065595006048,ענת כנורי לראשות העיר חולון 2023,ענת כנורי לראשות העיר חולון 2023,146,2
1029616787159895,יהודה דואה - הבחירה הנכונה לראשות המועצה,יהודה דואה - הבחירה הנכונה לראשות המועצה,144,6
320332825403620,מסורת שומרים על האמונה - יקנעם,מסורת שומרים על האמונה - יקנעם,138,3
548633762006156,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,137,10
120219177648236,רוח חדשה ברמלה - בראשות רותם כהן כחלון,רוח חדשה ברמלה - בראשות רותם כהן כחלון,133,2
104823549316428,Барак Сери,Barak Seri,131,3
172680759548006,האקדמית רמת-גן,המכללה האקדמית רמת גן,131,4
189064091982224,המכון הישראלי לתכנון כלכלי,המכון הישראלי לתכנון כלכלי,131,1
102222958209767,עוזי אהרון,עוזי אהרון,128,3
493870400705407,"ד""ר אלי לחמני","ד""ר אלי לחמני",128,3
118771164474162,נתיבות של כולנו,נתיבות של כולנו,126,2
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,125,1
102590401615806,Adir Schwarz - אדיר שוורץ,Adir Schwarz - אדיר שוורץ,123,7
220045128798930,"עו""ד ידידיה בלומהוף - תביעות משרד הביטחון",משרד עורכי דין ידידיה בלומהוף,123,8
