Location name,Amount spent (EUR)
Alsace,977
Aquitaine,1695
Auvergne,496
Basse-Normandie,596
Bourgogne,1160
Bretagne,1417
Centre,1601
Champagne-Ardenne,568
Corse,207
Franche-Comté,487
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,1005
Languedoc-Roussillon,1687
Limousin,311
Lorraine,979
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1753
New Caledonia,≤100
Nord-Pas-de-Calais,1594
Pays de la Loire,1814
Picardie,738
Poitou-Charentes,783
Provence-Alpes-Côte d'Azur,3049
Reunion Island,232
Rhône-Alpes,2773
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,5975
