Location name,Amount spent (INR)
Andaman and Nicobar Islands,146
Andhra Pradesh,37249
Arunachal Pradesh,611
Assam,14773
Bihar,167027
Chandigarh,1662
Chhattisgarh,98051
Dadra and Nagar Haveli,586
Delhi,41569
Goa,1385
Gujarat,46689
Haryana,31894
Himachal Pradesh,13151
Jammu and Kashmir,5733
Jharkhand,14229
Karnataka,76348
Kerala,19649
Lakshadweep,≤100
Madhya Pradesh,51921
Maharashtra,129581
Manipur,948
Meghalaya,43051
Mizoram,496
Nagaland,433
Odisha,9801
Puducherry,2083
Punjab region,29533
Rajasthan,172600
Sikkim,617
Tamil Nadu,47999
Telangana,28011
Tripura,8599
Unknown,≤100
Uttar Pradesh,103105
Uttarakhand,13839
West Bengal,36503
