Location name,Amount spent (DKK)
Capital Region of Denmark,35341
Central Denmark Region,19335
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8336
Region of Southern Denmark,17383
Unknown,≤100
Zealand Region,11087
