Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,271,2
405824882955092,Mazowieckie,Urząd Marszałkowski Województwa Mazowieckiego w Warszawie,251,2
50063176484,TVN24,TVN,241,13
475584852475176,Pozytron,Bartłomiej Jan Ginter,235,10
108020281494886,Assay Group,Assay Management Sp. z o.o.,217,3
312204349288060,Mariusz Gosek,Mariusz Gosek,210,6
136884656519145,IOM Poland,International Organization for Migration,210,4
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,202,10
137877409609952,Lewica,Nowa Lewica,200,4
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),196,2
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,192,2
111536078074010,Strefa Logopedy,Wiedza i Praktyka,176,2
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,174,2
144456642283086,Akademia WSB - WSB University,Akademia WSB,173,1
278591465655039,Geberit,These ads ran without a disclaimer,170,2
1477251852486946,Kosma Złotowski,Grupa Europejskich Konserwatystów i Reformatorów,168,6
391098174296294,Super Express,se.pl,163,3
1181684038602267,Niepodległa,"BIURO PROGRAMU ""NIEPODLEGŁA""",162,16
173086948664,Infor.pl,Infor.pl,153,8
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,148,8
1493760307522390,CityFit,CityFit,147,3
293429704566340,Ryszard Świlski,Łukasz Kacper Bejm,147,1
267686749910602,Piotr Müller,Piotr Müller - Poseł na Sejm RP,144,7
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,137,6
109649700417909,Piotr Sak,Poseł na Sejm RP Piotr Sak,133,3
129626970836,inFakt,inFakt,132,5
406758116099067,Fundacja Kasisi,Fundacja Kasisi,128,2
177473808919,Polskie Stronnictwo Ludowe,Polskie Stronnictwo Ludowe,127,3
1646168595688590,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,125,2
108567461681538,"Polska Katolicka, nie Laicka",Fundacja Instytut Edukacji Społecznej i Religijnej im. Ks. Piotra Skargi,124,1
104921858016507,Dzień Dobry Podatki,Michał Wilk,122,7
175966550952,Chrońmy Klimat,Fundacja Instytut na rzecz Ekorozwoju,119,36
1190568991079766,Polska za życiem,Fundacja Instytut Na Rzecz Kultury Prawnej Ordo Iuris,117,1
376101312892,Miasto Poznań,Miasto Poznań,114,1
1683534065241470,OKO.press,OKO.press,114,19
999568213449974,"Niezależni PV - Fotowoltaika dla domu, firmy i rolnictwa",Łukasz Zbigniew Czerwiński,109,23
621959344553367,DNA Rynków - merytorycznie o giełdach i gospodarkach,DNA Rynków,108,30
109218848183780,Marek Woźniak,UMWW,105,14
544319209354145,Edukacja Domowa,Sławomir Przemysław Jazienicki,102,2
868599633152789,Koncept - magazyn akademicki,Fundacja Inicjatyw Młodzieżowych,≤100,11
1063990387008272,Centrum Życia i Rodziny,Centrum Życia i Rodziny,≤100,1
102759805294356,Dariusz Matecki - Radny Miasta Szczecin,Dariusz Matecki Radny Miasta Szczecin,≤100,3
572441002909311,Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej w Toruniu,Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej w Toruniu,≤100,1
2320275388297228,Marcin Romanowski,Marcin Romanowski,≤100,1
515725191889934,Zmieniamy Łódzkie,Zmieniamy Łódzkie,≤100,1
2152238558396822,Mariusz Kałużny,Mariusz Kałużny,≤100,1
992640654249666,Krzysztof Kukucki,Krzysztof Aleksander Kukucki,≤100,1
1496359750659795,Michał Wójcik,Michał Wójcik,≤100,2
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,≤100,5
100302862419697,"Wielkopolska, tej",UMWW,≤100,18
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100,3
1407603489492838,Instytut na rzecz Kultury Prawnej Ordo Iuris,Instytut na rzecz Kultury Prawnej Ordo Iuris,≤100,1
178422935506101,Dan Cake,Dan Cake Polonia Sp. z o.o.,≤100,1
851597268265842,Telewizja Kopernik,TELEWIZJA KOPERNIK,≤100,10
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,≤100,4
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,≤100,1
131511477684330,Znak Horyzont,Społeczny Instytut Wydawniczy Znak sp. z o.o.,≤100,12
111778487054045,TOGETAIR,Kamil Magot,≤100,1
141049865933925,Katolicka Agencja Informacyjna / KAI,Katolicka Agencja Informacyjna,≤100,1
371981706755861,Kierunek na EKO,OS3 Sp. z o. o.,≤100,3
114265080356649,EuroKlima - Energy,EuroKlima Energy,≤100,1
381003278691136,Szymon Hołownia,Fundacja Polska Od Nowa,≤100,1
163064650412661,Teatr Powszechny w Łodzi,Teatr Powszechny w Łodzi,≤100,5
160341610647590,Łukasz Gibała,Kraków dla Mieszkańców,≤100,2
143951191449,Profinfo.pl,Wolters Kluwer PL,≤100,2
170887773826663,Marcin Warchoł,Marcin Warchoł,≤100,1
305401181544,UNICEF Poland,UNICEF Polska,≤100,3
329689093711687,Piotr Zgorzelski Wicemarszałek Sejmu RP,Biuro Poselskie Piotra Zgorzelskiego,≤100,1
971833706177522,Kraków dla Mieszkańców,Kraków dla Mieszkańców,≤100,3
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,≤100,3
489884657789669,Marek Charzewski,Marek Charzewski,≤100,1
125185964281959,Centrum Edukacji Obywatelskiej (CEO),Centrum Edukacji Obywatelskiej (CEO),≤100,3
398575110474591,Krzysztof Gadowski - Poseł na Sejm RP,Biuro Poselskie Posła Krzysztofa Gadowskiego,≤100,1
116580465063718,Marcin Meller,Grupa Wydawnicza Foksal,≤100,1
105039892358886,Świadczenie Pielęgnacyjne,FURPO GROUP SP. Z O.O.,≤100,3
129996417011607,Marcin OCIEPA,Marcin OCIEPA,≤100,1
111391888515479,Zawsze z Ochotą,Grzegorz Wysocki,≤100,1
170894632966683,Warszawski Instytut Bankowości,Sektorowa Rada ds. Kompetencji Sektora Finansowego,≤100,3
116769358389826,"Polskie Centrum Programu ""Safer Internet""",These ads ran without a disclaimer,≤100,1
1002291976457575,Agnieszka Rupniewska,Agnieszka Małgorzata Rupniewska,≤100,1
230415296997772,bydgoszcz.pl,bydgoszcz.pl,≤100,1
114453729684,gazetaprawna.pl,gazetaprawna.pl,≤100,3
152244658221042,Wielka Litera,Wielka Litera,≤100,1
108274755500430,Kolektyw Aktywne Miasto,Stowarzyszenie Młodych Animatorów Kultury,≤100,2
1425264934431305,Polski Instytut Księgowości,Polski Instytut Księgowości,≤100,6
583823491630995,Piotr Cieplucha,Piotr Paweł Cieplucha,≤100,1
207653439276138,Fundusze Europejskie dla Dolnego Śląska,Fundusze Europejskie dla Dolnego Śląska,≤100,2
810523519336688,Śląskie Lokalnie - małe granty FIO,Klaster Innowacji Społecznych,≤100,6
685978248083167,Kancelaria Adwokacka AMK,Piotr Michał Starzyński,≤100,1
148119012566775,Alegoria,Alegoria,≤100,2
106666447371322,Edward Siarka,Edward Siarka,≤100,1
195591907176717,Grzegorz Piechowiak - Wiceminister Rozwoju i Technologii,Biuro Posła Grzegorza Piechowiaka,≤100,1
959387840744974,Bezpartyjni Samorządowcy,Ogólnopolska Federacja Bezpartyjni i Samorządowcy,≤100,1
331112537305950,Bydgoskie Konsultacje,Bydgoskie Konsultacje,≤100,1
1725148494424834,Urząd Marszałkowski Województwa Wielkopolskiego,Urząd Marszałkowski Województwa Wielkopolskiego,≤100,1
385532321805330,Pomorskie,Pomorskie,≤100,1
1608898765820336,Vogue Polska,Vogue Polska,≤100,2
157186140963158,Green Parrot,Evergreen_Group sp. z o.o. sp.k.,≤100,2
151650414730,Med Polonia,Med Polonia Sp. z o. o.,≤100,45
1528030200840040,Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu,Muzeum Ziemi Wiśnickiej,≤100,2
286672948180163,Tomasz Trela,Poseł Tomasz Trela,≤100,2
316810098501611,Miasto2077 / Green is Good,Filip Kowalik,≤100,4
133112726750279,M jak Mama,Grupa ZPR Media,≤100,1
101283291180,dziennik.pl,dziennik.pl,≤100,4
121677374580121,Stowarzyszenie Rozwoju Wsi Świętokrzyskiej,Stowarzyszenie Rozwoju Wsi Świętokrzyskiej,≤100,2
109905377899546,Wielkopolska Energia,Veolia Energia Poznań S.A.,≤100,1
832320483579139,Vestra,Vestra,≤100,3
1486690634950930,Jerzy Wrębiak - Burmistrz Brzegu,Jerzy Wrębiak - Burmistrz Brzegu,≤100,2
199401584696,Konfederacja Lewiatan,Konfederacja Lewiatan,≤100,3
174700791475,Student.lex.pl,Wolters Kluwer Polska Sp. z o.o.,≤100,5
698522113529153,ADAMED SmartUP,ADAMED SmartUP,≤100,2
164767586942123,Portal Informacyjny Bobowa24.pl,Portal Informacyjny Bobowa24.pl,≤100,1
101075578169819,Ewa Wendrowska,Ewa Wendrowska,≤100,1
834495839904474,Michał Cieślak,Leszek Mikołaj Zajęcki,≤100,3
100761801881011,Forum Miasteczek Polskich,Janusz Buzek,≤100,1
194585893914848,Fundacja Rozwoju Demokracji Lokalnej,Cezary Trutkowski,≤100,3
186543124707583,ISSA Prevent Plastic Pollution,Biuro wykonawcze ISSA w Polsce,≤100,4
