Location name,Amount spent (SEK)
Blekinge County,3599
Dalarna County,7949
Gotland County,1721
Gävleborg County,7105
Halland County,7960
Jämtland County,3593
Jönköping County,8638
Kalmar County,5443
Kronoberg County,4198
Norrbotten County,6862
Skåne County,32675
Stockholm County,63122
Södermanland County,7601
Unknown,≤100
Uppsala County,10022
Värmland County,6797
Västerbotten County,6972
Västernorrland County,5690
Västmanland County,6820
Västra Götaland County,44427
Örebro County,7305
Östergötland County,11026
