Location name,Amount spent (SEK)
Blekinge County,11690
Dalarna County,21893
Gotland County,5507
Gävleborg County,21348
Halland County,23740
Jämtland County,10314
Jönköping County,24571
Kalmar County,16121
Kronoberg County,12360
Norrbotten County,19480
Skåne County,93906
Stockholm County,177263
Södermanland County,21652
Unknown,≤100
Uppsala County,30075
Värmland County,20338
Västerbotten County,20289
Västernorrland County,18625
Västmanland County,19121
Västra Götaland County,133830
Örebro County,21159
Östergötland County,31308
