Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
253615198009828,Anglo American,These ads ran without a disclaimer,5224,1
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,2683,6
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,2247,3
740116816003959,Western Cape Government,Western Cape Government,1865,41
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1163,2
144985128871748,City of Cape Town,City of Cape Town,1149,6
136956534616,Times LIVE,TimesLIVE,1067,8
107169379305548,TLU SA,TLU SA,811,3
6011868110,Democratic Alliance,Democratic Alliance,642,3
1742410059361710,AwakeMzansi,Awake Mzansi,498,2
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),481,1
116657351312927,Pledge To Vote SA,Pledge to Vote,476,40
208689879164310,ANC KwaZulu-Natal,Mfanelo Magwaza,401,1
181204251979581,NEASA,National Employers' Association of South Africa,346,7
2145594122138312,Action Society,Action Society,280,18
119736861394881,Financial Mail,BusinessLIVE,250,31
106172744063430,The Daily Friend,The Daily Friend,229,20
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,207,8
108096858922548,The People's Movement,The People's Movement,198,2
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,177,18
2215254718532346,Democratic Alliance - Northern Areas,Democratic Alliance,135,1
1479166275635514,Western Cape Provincial Parliament,Western Cape Provincial Parliament,134,1
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,132,2
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,116,5
182843381896565,Democratic Alliance Northern Cape,Democratic Alliance,104,1
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100,1
112315630440653,Cape Independence Advocacy Group,Cape Independence Advocacy Group,≤100,1
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100,1
246425659800809,Central News,Central News,≤100,2
1271402709601865,HEALA,HEALA,≤100,1
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100,10
286506558722350,Inside Politics,Inside Politics,≤100,1
195909420099,Solidariteit,Solidariteit,≤100,1
101212409076313,VF Plus - Mosselbaai,These ads ran without a disclaimer,≤100,1
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100,5
571775202881997,Democratic Alliance - Mossel Bay Constituency,Democratic Alliance Mossel Bay Constituency,≤100,1
102251394547417,VF Plus - Lesedi Plaaslike Munisipaliteit,Vryheidsfront Plus / Freedom Front Plus,≤100,1
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100,1
102265308016316,Al Jama-ah,Al Jama-ah,≤100,1
100641775794941,Dr Gustav Bock,Dr Gustav Bock,≤100,1
106047458085610,Inspire kasi lifestyle,These ads ran without a disclaimer,≤100,1
213003865396175,Arabian Travel Market,These ads ran without a disclaimer,≤100,1
614441158766955,Vote Dr Sipho P. Malapane And The Independent Campaign 2024,Sipho Pienaar Malapane,≤100,2
117225691317104,Rejoyce Ncube,These ads ran without a disclaimer,≤100,1
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100,2
109289161692453,Boitekanelo Private Healthcare,These ads ran without a disclaimer,≤100,1
101051196020136,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,≤100,1
1090814171006609,Men's Lives Matter Too,These ads ran without a disclaimer,≤100,1
1075003375867791,RESCAR AOC,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
101654211887389,Jerusalem Online - Arts & Culture,These ads ran without a disclaimer,≤100,1
106705804357319,Bluetti Global,These ads ran without a disclaimer,≤100,1
108607351041275,FAB Group,These ads ran without a disclaimer,≤100,1
1655478897929127,Ladies Social Network,These ads ran without a disclaimer,≤100,1
520171088019503,Liforme,These ads ran without a disclaimer,≤100,1
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,1
113909224980171,Gihad Hamza,These ads ran without a disclaimer,≤100,1
