Location name,Amount spent (MXN)
Aguascalientes,7617
Baja California,32035
Baja California Sur,4998
Campeche,12137
Chiapas,17601
Chihuahua,28311
Coahuila de Zaragoza,22107
Colima,9803
Distrito Federal,156900
Durango,5885
Guanajuato,30062
Guerrero,14450
Hidalgo,7252
Jalisco,77372
Michoacán de Ocampo,47013
Morelos,21902
Nayarit,4930
Nuevo León,128900
Oaxaca,26187
Puebla,60436
Querétaro Arteaga,18760
Quintana Roo,29973
San Luis Potosi,19746
Sinaloa,14854
Sonora,28712
State of Mexico,46055
Tabasco,13562
Tamaulipas,22868
Tlaxcala,5634
Unknown,≤100
Veracruz,29677
Yucatán,27424
Zacatecas,7178
