Location name,Amount spent (ZAR)
Eastern Cape,454
Free State,477
Gauteng,3265
KwaZulu-Natal,842
Limpopo,640
Mpumalanga,276
North West,221
Northern Cape,≤100
Unknown,≤100
Western Cape,3245
