Location name,Amount spent (GTQ)
Alta Verapaz Department,1044
Baja Verapaz Department,331
Chimaltenango Department,882
Chiquimula Department,681
El Progreso Department,298
Escuintla Department,1317
Guatemala Department,24968
Huehuetenango Department,1322
Izabal Department,972
Jalapa Department,407
Jutiapa Department,780
Petén Department,607
Quetzaltenango Department,2039
Quiché Department,900
Retalhuleu Department,586
Sacatepéquez Department,1373
San Marcos Department,3283
Santa Rosa Department,525
Sololá Department,618
Suchitepéquez Department,778
Totonicapán Department,478
Unknown,≤100
Zacapa Department,546
