Location name,Amount spent (HUF)
Baranya County,92440
Borsod-Abaúj-Zemplén County,111212
Budapest,469947
Bács-Kiskun County,88843
Békés County,65817
Csongrád County,78003
Fejér County,83414
Győr-Moson-Sopron County,86761
Hajdú-Bihar County,103335
Heves County,71299
Jász-Nagykun-Szolnok County,89138
Komárom-Esztergom County,56924
Nógrád County,32047
Pest County,206810
Somogy County,54706
Szabolcs-Szatmár-Bereg County,89049
Tolna County,40128
Unknown,≤100
Vas County,49308
Veszprém County,64365
Zala County,51344
