Location name,Amount spent (GTQ)
Alta Verapaz Department,240
Baja Verapaz Department,≤100
Chimaltenango Department,203
Chiquimula Department,141
El Progreso Department,≤100
Escuintla Department,298
Guatemala Department,6073
Huehuetenango Department,281
Izabal Department,224
Jalapa Department,≤100
Jutiapa Department,167
Petén Department,136
Quetzaltenango Department,450
Quiché Department,194
Retalhuleu Department,109
Sacatepéquez Department,328
San Marcos Department,701
Santa Rosa Department,126
Sololá Department,143
Suchitepéquez Department,179
Totonicapán Department,113
Unknown,≤100
Zacapa Department,≤100
