Location name,Amount spent (IDR)
Aceh,736194
Bali,1765111
Bangka–Belitung Islands,403337
Banten,4516019
Bengkulu,761317
Central Java,8002135
Central Kalimantan,790385
Central Sulawesi,1084278
East Java,10103732
East Kalimantan,1846816
East Nusa Tenggara,1561967
Gorontalo,556640
Jakarta,7608723
Jambi,941205
Lampung,3745329
Maluku,525513
North Kalimantan,267112
North Maluku,426349
North Sulawesi,1768486
North Sumatra,5497868
Papua (province),864160
Riau,4382865
Riau Islands Province,752067
South Kalimantan,1045875
South Sulawesi,3684510
South Sumatra,3700708
Southeast Sulawesi,739076
Special Region of Yogyakarta,2901885
Unknown,695
West Java,10875304
West Kalimantan,1379481
West Nusa Tenggara,1489389
West Papua,403979
West Sulawesi,414221
West Sumatra,1186940
