Location name,Amount spent (NZD)
Auckland Region,4818
Bay of Plenty Region,1141
Canterbury,1963
Cook Islands,≤100
Gisborne District,139
Hawke's Bay,533
Manawatu-Wanganui,807
Marlborough Region,141
Nelson Province,288
Northland Region,512
Otago,659
Southland,328
Taranaki,381
Tasman District,144
Unknown,≤100
Waikato,1486
Wellington Region,1467
West Coast,≤100
