Page ID,Page name,Disclaimer,Amount spent (THB),Number of ads in Library
327274740648929,แคน อติรุจ,These ads ran without a disclaimer,10400,1
161651553861945,Amnesty International Thailand,Amnesty International Thailand,8985,19
475355145913095,ข่าวหุ้นธุรกิจ - Kaohoon,These ads ran without a disclaimer,2464,1
108515294626891,สอบข้าราชการท้องถิ่น By Thurakan,สอบข้าราชการท้องถิ่น By Thurakan,1628,2
345127652279503,มูลนิธิสากลเพื่อคนพิการ,มูลนิธิสากลเพื่อคนพิการ,1375,4
111341764925564,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,1204,10
2147352858864607,เตรียมสอบบรรจุ ข้าราชการท้องถิ่นและครูผู้ช่วย อปท.,These ads ran without a disclaimer,1172,1
1105604039583762,Line One สว.นท. ขอเชิญส่งประวัติ ส่วนตัว องค์กร เพื่อเข้ารับรางวัลประจำปี,Line One สว.นท. ขอเชิญส่งประวัติ ส่วนตัว องค์กร เพื่อเข้ารับรางวัลประจำปี,929,1
480222865705980,สรรเพชญ บุญญามณี,สรรเพชญ บุญญามณี,774,1
109552337467130,THE STANDARD WEALTH,"THE STANDARD CO., LTD",693,1
104571979194914,ปานทิพย์  พิมพ์พิชชา  ชัยศุภกิจเจริญ,ปานทิพย์  พิมพ์พิชชา  ชัยศุภกิจเจริญ,691,4
622674297897819,Screenshirt2020,Screenshirt2020,638,1
177948972256358,เอกนัฏ พร้อมพันธุ์ (ขิง),เอกนัฏ พร้อมพันธุ์ (ขิง),609,2
1647814138801784,Physiogel Thailand,These ads ran without a disclaimer,588,3
651699931624315,Techsauce,Techsauce,566,2
105125715202609,ส.ส.ไผ่ ลิกค์,ส.ส.ไผ่ ลิกค์,561,6
972019486321939,บู้ จเด็ศ จันทรา,บู้ จเด็ศ จันทรา,558,4
178577273067499,Coke Promotion by Thainamthip,These ads ran without a disclaimer,543,3
190744968374504,British Council Thailand English,These ads ran without a disclaimer,502,2
295129834227671,Unicharm Pet,These ads ran without a disclaimer,470,3
104769961794110,อินทรัตน์ ยอดบางเตย,อินทรัตน์ ยอดบางเตย,458,10
104393812499502,ชีทสรุปกฎหมาย สำหรับสอบราชการ พนักงานราชการ by.kantap,ชีทสรุปกฎหมาย สำหรับสอบราชการ พนักงานราชการ by.kantap,414,2
104553005992573,Short Note & Sheet สรุปสอบข้าราชการ และใบงาน,Short Note & Sheet สรุปสอบข้าราชการ และใบงาน,413,2
106500602280120,เตรียมสอบข้อราชการท้องถิ่น อปท. กพ.,เตรียมสอบข้อราชการท้องถิ่น อปท. กพ.,387,1
106151945819870,Dr.Fon clinic หาดใหญ่,Dr.Fon clinic หาดใหญ่,312,4
111914873805471,AIS Shop Central Eastville,These ads ran without a disclaimer,299,1
105838817755256,วงศ์อะเคื้อ บุญศล - กิ่งแก้ว,วงศ์อะเคื้อ บุญศล - กิ่งแก้ว,284,1
101903785231136,นายกไก่กังวาล ศักดิ์ชัย พิศาลผล,นายกไก่กังวาล ศักดิ์ชัย พิศาลผล,264,7
107406281857759,Graph Dental คลินิกทันตกรรมกราฟ สุขาภิบาล5-สายไหม,These ads ran without a disclaimer,255,6
