Location name,Amount spent (INR)
Andaman and Nicobar Islands,249
Andhra Pradesh,116775
Arunachal Pradesh,2046
Assam,17244
Bihar,33503
Chandigarh,2049
Chhattisgarh,101126
Dadra and Nagar Haveli,1674
Delhi,48915
Goa,3357
Gujarat,60811
Haryana,41048
Himachal Pradesh,13165
Jammu and Kashmir,5998
Jharkhand,14944
Karnataka,51619
Kerala,10576
Lakshadweep,≤100
Madhya Pradesh,133752
Maharashtra,236461
Manipur,647
Meghalaya,1749
Mizoram,1524
Nagaland,643
Odisha,16813
Puducherry,808
Punjab region,33335
Rajasthan,141704
Sikkim,894
Tamil Nadu,26361
Telangana,51826
Tripura,2563
Unknown,117
Uttar Pradesh,108601
Uttarakhand,13527
West Bengal,109647
