Location name,Amount spent (KES)
Central Province,338
Coast Province,≤100
Eastern Province,2066
Nairobi,2027
North Eastern Province,≤100
Nyanza Province,≤100
Rift Valley Province,404
Unknown,≤100
Western Province,≤100
