Location name,Amount spent (USD)
Alabama,8068
Alaska,2401
American Samoa,≤100
Arizona,22174
Arkansas,5769
California,89552
Colorado,15087
Connecticut,9437
Delaware,2133
Florida,49649
Georgia,20628
Guam,≤100
Hawaii,3851
Idaho,4676
Illinois,31285
Indiana,15461
Iowa,7644
Kansas,7064
Kentucky,9119
Louisiana,11612
Maine,5697
Maryland,17211
Massachusetts,18811
Michigan,38475
Minnesota,15623
Mississippi,5047
Missouri,16468
Montana,2425
Nebraska,3562
Nevada,5205
New Hampshire,3312
New Jersey,24404
New Mexico,6044
New York,48431
North Carolina,21889
North Dakota,1852
Northern Mariana Islands,≤100
Ohio,25402
Oklahoma,9942
Oregon,15686
Pennsylvania,31253
Puerto Rico,≤100
Rhode Island,3687
South Carolina,9406
South Dakota,1767
Tennessee,15418
Texas,73354
Unknown,≤100
Utah,6645
Vermont,2301
Virgin Islands (U.S.),≤100
Virginia,26181
Washington,21474
"Washington, District of Columbia",14759
West Virginia,4482
Wisconsin,18728
Wyoming,1178
