Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
222490514559847,Comunicación del Estado Plurinacional de Bolivia,These ads ran without a disclaimer,385,2
964080723662055,Carlos Subirana Responde,Editorial CSS,329,3
101029268584854,José Carlos Sánchez Verazaín,Boris Christian Lehm Murillo,210,4
110555990500784,Ingvar Ellefsen - Diputado,Ingvar Ellefsen,152,4
103466912684381,Reforma Judicial SCZ,JMS.COM.BO,126,3
106403237850347,Goberna Bolivia,Goberna,≤100,7
102536645161497,Pierre Chain - C O N C E J A L,Pierre Chain - C O N C E J A L,≤100,2
279677395908479,Virginio Lema Trigo,Walter Agustin Zambrana Arze,≤100,1
221108751377185,UNITAS,These ads ran without a disclaimer,≤100,1
1001362903237408,Cochabamba Concejo Municipal,Cochabamba Concejo Municipal,≤100,2
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100,2
104727745931402,Federación Sindical de Trabajadores de la Prensa de El Alto - Fstpea,Andrés Rodríguez Rodríguez,≤100,2
101824857848955,Enrique Urquidi - Diputado,Enrique Fernando Urquidi Daza,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
100533175434490,NAYRIR PACHA TV,Andrés Rodríguez Rodríguez,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,1
111585510603603,Elena Pachacute - Diputada Nacional,María Elena Pachacute Ticona,≤100,1
190739455190659,Molly Saldaña,Molly Margarita Saldaña Araujo,≤100,1
100393048247870,Daniela Cabrera Concejal,Daniela Cabrera Concejal,≤100,1
563287193771389,Viceministerio de Recursos Hídricos y Riego,Lizeth Alvarez Mendoza,≤100,1
115766059968334,Noticentral,Andrés Rodríguez Rodríguez,≤100,1
208411159175490,ACODAL,These ads ran without a disclaimer,≤100,2
10606591490,TIME,These ads ran without a disclaimer,≤100,2
124275457632741,ElectronicSpecifier,These ads ran without a disclaimer,≤100,1
289446947817747,Global Citizen,These ads ran without a disclaimer,≤100,1
103329418960692,Energies MDPI,These ads ran without a disclaimer,≤100,2
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
105900552270698,Sofia Adara,These ads ran without a disclaimer,≤100,8
423609701387941,Peachbruh,These ads ran without a disclaimer,≤100,1
103083211820527,Our Funny Little Site Family,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,2
2354017254707192,Learning English with Oxford,These ads ran without a disclaimer,≤100,1
120460525135389,Educational Partners International,These ads ran without a disclaimer,≤100,1
2279264422124393,Vibra Latina Houston,These ads ran without a disclaimer,≤100,2
