Location name,Amount spent (EGP)
Al Sharqia Governorate,1745
Alexandria Governorate,914
Aswan Governorate,137
Asyut Governorate,348
Beheira Governorate,547
Beni Suef Governorate,322
Cairo Governorate,3004
Dakahlia Governorate,1061
Damietta Governorate,329
Faiyum Governorate,214
Gharbia Governorate,904
Giza Governorate,809
Ismailia Governorate,218
Kafr el-Sheikh Governorate,469
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,384
Monufia Governorate,548
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,188
Qalyubia Governorate,627
Qena Governorate,229
Red Sea Governorate,≤100
Sohag Governorate,335
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
