Location name,Amount spent (COP)
Amazonas,640
Antioquia,4743045
Arauca,5176
Atlantico,144824
Bolivar,128169
Boyaca,40053
Caldas,489475
Caqueta,57281
Casanare,20750
Cauca,395074
Cesar,51779
Choco,13865
Cordoba,67841
Cundinamarca,324630
Distrito Especial,1286001
Guainia,217
Guaviare,6042
Huila,197178
La Guajira,17556
Magdalena,108692
Meta,357943
Narino,51956
Norte de Santander,1212577
Putumayo,7455
Quindio,65425
Risaralda,392422
San Andres y Providencia,2053
Santander,907326
Sucre,68590
Tolima,342049
Unknown,≤100
Valle del Cauca,3488113
Vaupes,≤100
Vichada,179
