Location name,Amount spent (PLN)
Greater Poland Voivodeship,8711
Kuyavian-Pomeranian Voivodeship,2631
Lesser Poland Voivodeship,3587
Lower Silesian Voivodeship,3350
Lublin Voivodeship,1738
Lubusz Voivodeship,918
Masovian Voivodeship,7912
Opole Voivodeship,686
Podkarpackie Voivodeship,1276
Podlaskie Voivodeship,1244
Pomeranian Voivodeship,2825
Silesian Voivodeship,3632
Unknown,≤100
Warmian-Masurian Voivodeship,1069
West Pomeranian Voivodeship,1605
Łódź Voivodeship,2393
Świętokrzyskie Voivodeship,985
