Location name,Amount spent (CLP)
Antofagasta Region,63400
Araucanía Region,93392
Arica y Parinacota Region,52014
Atacama Region,22593
Aysén Region,10401
Bío Bío Region,174525
Coquimbo Region,104140
Los Lagos Region,119403
Los Ríos Region,43689
Magallanes y la Antártica Chilena Region,20105
Maule Region,107452
O'Higgins Region,102898
Santiago Metropolitan Region,664838
Tarapacá Region,32608
Unknown,244
Valparaíso Region,138719
