Location name,Amount spent (THB)
Amnat Charoen,903
Ang Thong,237
Ayutthaya,2234
Bangkok,115313
Bueng Kan,432
Buriram,1682
Chachoengsao,1152
Chai Nat,2054
Chaiyaphum,2346
Chanthaburi,4249
Chiang Mai,3726
Chiang Rai,1838
Chon Buri,17602
Chumphon,1001
Kalasin,1078
Kamphaeng Phet,700
Kanchanaburi,12435
Khon Kaen,11107
Krabi,2048
Lampang,735
Lamphun,659
Loei,616
Lop Buri,673
Mae Hong Son,199
Maha Sarakham,902
Mukdahan,436
Nakhon Nayok,338
Nakhon Pathom,5044
Nakhon Phanom,4238
Nakhon Ratchasima,6361
Nakhon Sawan,2186
Nakhon Si Thammarat,7614
Nan,325
Narathiwat,555
Nong Bua Lam Phu,395
Nong Khai,452
Nonthaburi,5483
Pathum Thani,9030
Pattani,1169
Phangnga,554
Phatthalung,1910
Phayao,763
Phetchabun,1591
Phetchaburi,723
Phichit,560
Phitsanulok,8685
Phrae,983
Phuket,11973
Prachin Buri,495
Prachuap Khiri Khan,1292
Ranong,271
Ratchaburi,4452
Rayong,2898
Roi Et,1249
Sa Kaeo,458
Sakon Nakhon,2458
Samut Prakan,5528
Samut Sakhon,3723
Samut Songkhram,5241
Saraburi,1525
Satun,1073
Sing Buri,244
Sisaket,1086
Songkhla,11818
Sukhothai,868
Suphan Buri,1467
Surat Thani,22631
Surin,1400
Tak,450
Trang,2983
Trat,1474
Ubon Ratchathani,2494
Udon Thani,1398
Unknown,≤100
Uthai Thani,274
Uttaradit,406
Yala Province,745
Yasothon,1429
