Location name,Amount spent (INR)
Andaman and Nicobar Islands,238
Andhra Pradesh,130564
Arunachal Pradesh,1739
Assam,20342
Bihar,44085
Chandigarh,2197
Chhattisgarh,58321
Dadra and Nagar Haveli,842
Delhi,47875
Goa,3433
Gujarat,59656
Haryana,40909
Himachal Pradesh,8617
Jammu and Kashmir,7195
Jharkhand,18886
Karnataka,54723
Kerala,15517
Lakshadweep,≤100
Madhya Pradesh,344639
Maharashtra,200090
Manipur,499
Meghalaya,1781
Mizoram,3139
Nagaland,1889
Odisha,16156
Puducherry,1041
Punjab region,34546
Rajasthan,297895
Sikkim,1148
Tamil Nadu,38684
Telangana,112772
Tripura,2528
Unknown,220
Uttar Pradesh,113513
Uttarakhand,19663
West Bengal,52143
