Location name,Amount spent (EGP)
Al Sharqia Governorate,3302
Alexandria Governorate,4241
Aswan Governorate,505
Asyut Governorate,1111
Beheira Governorate,1605
Beni Suef Governorate,769
Cairo Governorate,8736
Dakahlia Governorate,3545
Damietta Governorate,936
Faiyum Governorate,848
Gharbia Governorate,2727
Giza Governorate,2268
Ismailia Governorate,731
Kafr el-Sheikh Governorate,1319
Luxor Governorate,655
Matrouh Governorate,166
Minya Governorate,1173
Monufia Governorate,1618
New Valley Governorate,1537
North Sinai Governorate,270
Port Said Governorate,553
Qalyubia Governorate,1719
Qena Governorate,779
Red Sea Governorate,371
Sohag Governorate,1159
South Sinai Governorate,153
Suez Governorate,481
Unknown,≤100
