Location name,Amount spent (PYG)
Alto Paraguay Department,10941
Alto Paraná Department,468651
Amambay Department,38226
Asunción,444103
Boquerón department,11087
Caaguazú Department,131491
Caazapá Department,19011
Canindeyú Department,41843
Central Department,1434418
Concepción Department (Paraguay),45249
Cordillera Department,117197
Guairá Department,38900
Itapúa Department,136542
Misiones Department,47097
Paraguarí Department,42432
Presidente Hayes Department,33444
San Pedro Department,56940
Unknown,≤100
Ñeembucú Department,19752
