Location name,Amount spent (COP)
Amazonas,816
Antioquia,4714003
Arauca,97936
Atlantico,1061473
Bolivar,285258
Boyaca,141106
Caldas,325667
Caqueta,10837
Casanare,22914
Cauca,164861
Cesar,58451
Choco,38219
Cordoba,121573
Cundinamarca,555695
Distrito Especial,3161296
Guainia,384
Guaviare,2722
Huila,343512
La Guajira,20713
Magdalena,316924
Meta,265389
Narino,87053
Norte de Santander,142507
Putumayo,53982
Quindio,95799
Risaralda,555301
San Andres y Providencia,2793
Santander,313144
Sucre,46554
Tolima,207169
Unknown,≤100
Valle del Cauca,2386412
Vaupes,191
Vichada,277
