Location name,Amount spent (UYU)
Artigas Department,119
Canelones Department,419
Cerro Largo Department,105
Colonia Department,227
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,499
Montevideo Department,3539
Paysandú Department,148
Rivera Department,269
Rocha Department,≤100
Río Negro Department,177
Salto Department,236
San José Department,≤100
Soriano Department,149
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
