Location name,Amount spent (COP)
Amazonas,3211
Antioquia,7846463
Arauca,181257
Atlantico,604012
Bolivar,446482
Boyaca,777500
Caldas,727678
Caqueta,244763
Casanare,224316
Cauca,393468
Cesar,394998
Choco,75096
Cordoba,3632527
Cundinamarca,1149953
Distrito Especial,3532028
Guainia,12881
Guaviare,15871
Huila,865352
La Guajira,152457
Magdalena,169696
Meta,584094
Narino,166377
Norte de Santander,1281614
Putumayo,501978
Quindio,190500
Risaralda,2779010
San Andres y Providencia,11906
Santander,1846075
Sucre,512189
Tolima,645745
Unknown,516
Valle del Cauca,2843072
Vaupes,418
Vichada,2169
