Location name,Amount spent (JPY)
Aichi Prefecture,34227
Akita Prefecture,2626
Aomori Prefecture,4132
Chiba Prefecture,27987
Ehime Prefecture,4066
Fukui Prefecture,2672
Fukuoka Prefecture,51144
Fukushima Prefecture,6378
Gifu Prefecture,6618
Gunma Prefecture,6785
Hiroshima Prefecture,9876
Hokkaido,20610
Hyōgo Prefecture,23327
Ibaraki Prefecture,9422
Ishikawa Prefecture,4776
Iwate Prefecture,3898
Kagawa Prefecture,3435
Kagoshima Prefecture,4741
Kanagawa Prefecture,60045
Kumamoto Prefecture,7471
Kyoto Prefecture,16986
Kōchi Prefecture,1876
Mie Prefecture,6157
Miyagi Prefecture,13919
Miyazaki Prefecture,3128
Nagano Prefecture,6433
Nagasaki Prefecture,4848
Nara Prefecture,5552
Niigata Prefecture,5510
Okayama Prefecture,6987
Okinawa Prefecture,8553
Osaka Prefecture,50903
Saga Prefecture,4327
Saitama Prefecture,28676
Shiga Prefecture,6195
Shimane Prefecture,2004
Shizuoka Prefecture,14165
Tochigi Prefecture,5672
Tokushima Prefecture,1604
Tokyo,88765
Tottori Prefecture,1524
Toyama Prefecture,3244
Unknown,≤100
Wakayama Prefecture,4352
Yamagata Prefecture,3772
Yamaguchi Prefecture,4287
Yamanashi Prefecture,2981
Ōita Prefecture,5533
