Location name,Amount spent (USD)
Azuay Province,2196
Bolívar Province,278
Carchi Province,183
Cañar Province,536
Chimborazo Province,896
Cotopaxi Province,645
El Oro Province,2720
Esmeraldas Province,934
Galápagos Province,≤100
Guayas Province,8060
Imbabura Province,961
Loja Province,870
Los Ríos Province,1593
Manabí Province,3779
Morona-Santiago Province,248
Napo Province,142
Orellana Province,251
Pastaza Province,248
Pichincha Province,5412
Santa Elena Province,665
Santo Domingo de los Tsáchilas Province,1597
Sucumbíos Province,323
Tungurahua Province,1245
Unknown,≤100
Zamora-Chinchipe Province,146
