Location name,Amount spent (DKK)
Capital Region of Denmark,58467
Central Denmark Region,37628
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,14110
Region of Southern Denmark,29636
Unknown,≤100
Zealand Region,20258
