Location name,Amount spent (AUD)
Australian Capital Territory,944
Jervis Bay Territory,≤100
New South Wales,17474
Northern Territory,263
Queensland,5517
South Australia,2146
Tasmania,1086
Unknown,≤100
Victoria,7159
Western Australia,2485
