Location name,Amount spent (INR)
Andaman and Nicobar Islands,211
Andhra Pradesh,57968
Arunachal Pradesh,789
Assam,16562
Bihar,45675
Chandigarh,3728
Chhattisgarh,25337
Dadra and Nagar Haveli,767
Delhi,72915
Goa,4246
Gujarat,52966
Haryana,34182
Himachal Pradesh,20032
Jammu and Kashmir,8709
Jharkhand,16071
Karnataka,900187
Kerala,14504
Lakshadweep,≤100
Madhya Pradesh,64872
Maharashtra,156183
Manipur,747
Meghalaya,4940
Mizoram,658
Nagaland,2963
Odisha,16916
Puducherry,2080
Punjab region,254090
Rajasthan,160727
Sikkim,1051
Tamil Nadu,103181
Telangana,63798
Tripura,2162
Unknown,5058
Uttar Pradesh,357083
Uttarakhand,14197
West Bengal,71992
