Location name,Amount spent (EGP)
Al Sharqia Governorate,1612
Alexandria Governorate,1027
Aswan Governorate,133
Asyut Governorate,281
Beheira Governorate,535
Beni Suef Governorate,219
Cairo Governorate,1880
Dakahlia Governorate,1207
Damietta Governorate,217
Faiyum Governorate,168
Gharbia Governorate,795
Giza Governorate,532
Ismailia Governorate,322
Kafr el-Sheikh Governorate,384
Luxor Governorate,107
Matrouh Governorate,≤100
Minya Governorate,346
Monufia Governorate,569
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,206
Qalyubia Governorate,439
Qena Governorate,226
Red Sea Governorate,≤100
Sohag Governorate,317
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
