Location name,Amount spent (DKK)
Capital Region of Denmark,47075
Central Denmark Region,24073
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,10127
Region of Southern Denmark,23114
Unknown,107
Zealand Region,14373
