Location name,Amount spent (THB)
Amnat Charoen,119
Ang Thong,134
Ayutthaya,355
Bangkok,8048
Bueng Kan,149
Buriram,429
Chachoengsao,227
Chai Nat,132
Chaiyaphum,317
Chanthaburi,173
Chiang Mai,1537
Chiang Rai,565
Chon Buri,1005
Chumphon,213
Kalasin,302
Kamphaeng Phet,636
Kanchanaburi,359
Khon Kaen,692
Krabi,194
Lampang,327
Lamphun,188
Loei,222
Lop Buri,240
Mae Hong Son,117
Maha Sarakham,301
Mukdahan,111
Nakhon Nayok,≤100
Nakhon Pathom,312
Nakhon Phanom,230
Nakhon Ratchasima,1046
Nakhon Sawan,757
Nakhon Si Thammarat,493
Nan,190
Narathiwat,246
Nong Bua Lam Phu,145
Nong Khai,198
Nonthaburi,674
Pathum Thani,474
Pattani,318
Phangnga,106
Phatthalung,197
Phayao,174
Phetchabun,276
Phetchaburi,186
Phichit,218
Phitsanulok,939
Phrae,165
Phuket,313
Prachin Buri,349
Prachuap Khiri Khan,627
Ranong,≤100
Ratchaburi,328
Rayong,467
Roi Et,349
Sa Kaeo,176
Sakon Nakhon,358
Samut Prakan,334
Samut Sakhon,300
Samut Songkhram,≤100
Saraburi,271
Satun,122
Sing Buri,≤100
Sisaket,530
Songkhla,3382
Sukhothai,223
Suphan Buri,276
Surat Thani,451
Surin,439
Tak,251
Trang,192
Trat,≤100
Ubon Ratchathani,690
Udon Thani,570
Unknown,≤100
Uthai Thani,102
Uttaradit,157
Yala Province,250
Yasothon,170
