Location name,Amount spent (NGN)
Abia State,98365
Adamawa State,50607
Akwa Ibom State,41408
Anambra State,73030
Bauchi State,28416
Bayelsa State,10260
Benué State,42405
Borno State,37375
Cross River State,21680
Delta State,72763
Ebonyi State,14530
Edo State,63747
Ekiti State,14154
Enugu State,64085
Federal Capital Territory,208019
Gombe State,32748
Imo State,82969
Jigawa State,11352
Kaduna State,135615
Kano State,271593
Katsina State,38707
Kebbi State,9307
Kogi State,26726
Kwara State,129081
Lagos State,652551
Nasarawa State,24646
Niger State,36036
Ogun State,162233
Ondo State,26416
Osun State,32006
Oyo State,118421
Plateau State,121673
Rivers State,117770
Sokoto State,31396
Taraba State,23278
Unknown,256
Yobe State,14598
Zamfara State,13061
