Location name,Amount spent (ZAR)
Eastern Cape,882
Free State,568
Gauteng,3714
KwaZulu-Natal,1166
Limpopo,559
Mpumalanga,458
North West,326
Northern Cape,140
Unknown,≤100
Western Cape,2895
