Location name,Amount spent (USD)
Azuay Province,8612
Bolívar Province,411
Carchi Province,410
Cañar Province,1098
Chimborazo Province,2610
Cotopaxi Province,1606
El Oro Province,6436
Esmeraldas Province,2604
Galápagos Province,733
Guayas Province,14744
Imbabura Province,1915
Loja Province,1410
Los Ríos Province,5618
Manabí Province,10826
Morona-Santiago Province,421
Napo Province,275
Orellana Province,1556
Pastaza Province,456
Pichincha Province,11354
Santa Elena Province,1325
Santo Domingo de los Tsáchilas Province,4085
Sucumbíos Province,1358
Tungurahua Province,1653
Unknown,≤100
Zamora-Chinchipe Province,264
