Location name,Amount spent (MXN)
Aguascalientes,5017
Baja California,22527
Baja California Sur,3141
Campeche,19397
Chiapas,12860
Chihuahua,36132
Coahuila de Zaragoza,27232
Colima,8012
Distrito Federal,94044
Durango,5424
Guanajuato,36710
Guerrero,13418
Hidalgo,7384
Jalisco,73290
Michoacán de Ocampo,21666
Morelos,11228
Nayarit,4393
Nuevo León,97384
Oaxaca,11848
Puebla,20733
Querétaro Arteaga,20284
Quintana Roo,9496
San Luis Potosi,20340
Sinaloa,23020
Sonora,25659
State of Mexico,55779
Tabasco,6385
Tamaulipas,21122
Tlaxcala,11329
Unknown,≤100
Veracruz,36700
Yucatán,23510
Zacatecas,3477
