Location name,Amount spent (BRL)
Acre (state),384
Alagoas,1901
Amapá,689
Amazonas,3524
Bahia,10336
Ceará,7301
Espírito Santo,2828
Federal District,2268
Goiás,3882
Maranhão,4011
Mato Grosso,3935
Mato Grosso do Sul,2311
Minas Gerais,16399
Paraná,6861
Paraíba,3076
Pará,4607
Pernambuco,6410
Piauí,1636
Rio Grande do Norte,1991
Rio Grande do Sul,7905
Rio de Janeiro (state),15374
Rondônia,1330
Roraima,803
Santa Catarina,8004
Sergipe,1278
São Paulo (state),56500
Tocantins,1654
Unknown,≤100
