Location name,Amount spent (AUD)
Australian Capital Territory,508
Cocos (Keeling) Islands,≤100
Jervis Bay Territory,≤100
New South Wales,10520
Northern Territory,179
Queensland,4775
South Australia,1585
Tasmania,596
Unknown,≤100
Victoria,5302
Western Australia,2116
