Location name,Amount spent (INR)
Andaman and Nicobar Islands,273
Andhra Pradesh,143193
Arunachal Pradesh,876
Assam,26107
Bihar,70162
Chandigarh,2860
Chhattisgarh,32127
Dadra and Nagar Haveli,1106
Delhi,56539
Goa,2255
Gujarat,46983
Haryana,48907
Himachal Pradesh,13658
Jammu and Kashmir,14115
Jharkhand,24152
Karnataka,569779
Kerala,26545
Lakshadweep,≤100
Madhya Pradesh,52345
Maharashtra,155744
Manipur,1333
Meghalaya,232760
Mizoram,506
Nagaland,123092
Odisha,18085
Puducherry,1496
Punjab region,32602
Rajasthan,111731
Sikkim,735
Tamil Nadu,59298
Telangana,81686
Tripura,3071
Unknown,≤100
Uttar Pradesh,111941
Uttarakhand,12719
West Bengal,48474
