Location name,Amount spent (MXN)
Aguascalientes,3619
Baja California,16887
Baja California Sur,2027
Campeche,3836
Chiapas,8712
Chihuahua,15982
Coahuila de Zaragoza,12473
Colima,2662
Distrito Federal,54022
Durango,4409
Guanajuato,11155
Guerrero,5327
Hidalgo,6552
Jalisco,61541
Michoacán de Ocampo,24184
Morelos,5833
Nayarit,2355
Nuevo León,35000
Oaxaca,7150
Puebla,14174
Querétaro Arteaga,16250
Quintana Roo,13362
San Luis Potosi,9817
Sinaloa,5046
Sonora,16546
State of Mexico,85081
Tabasco,5359
Tamaulipas,13852
Tlaxcala,2609
Unknown,≤100
Veracruz,25062
Yucatán,39982
Zacatecas,3213
