Location name,Amount spent (TRY)
Adana Province,856
Adıyaman Province,155
Afyonkarahisar Province,300
Aksaray Province,178
Amasya Province,130
Ankara Province,2380
Antalya Province,2055
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,493
Ağrı Province,≤100
Balıkesir Province,708
Bartın Province,≤100
Batman Province,166
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,140
Burdur Province,122
Bursa Province,1749
Denizli Province,689
Diyarbakır Province,365
Düzce Province,237
Edirne Province,180
Elazığ Province,153
Erzincan Province,≤100
Erzurum Province,275
Eskişehir Province,429
Gaziantep Province,748
Giresun Province,254
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,819
Isparta Province,201
Istanbul Province,13202
Iğdır Province,≤100
Kahramanmaraş Province,408
Karabük Province,102
Karaman Province,123
Kars Province,≤100
Kastamonu Province,147
Kayseri Province,560
Kilis Province,≤100
Kocaeli Province,1499
Konya Province,930
Kütahya Province,202
Kırklareli Province,149
Kırıkkale Province,192
Kırşehir Province,≤100
Malatya Province,232
Manisa Province,696
Mardin Province,219
Mersin Province,1248
Muğla Province,847
Muş Province,≤100
Nevşehir Province,118
Niğde Province,140
Ordu Province,435
Osmaniye Province,187
Rize Province,169
Sakarya Province,260
Samsun Province,1100
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,183
Tekirdağ Province,387
Tokat Province,246
Trabzon Province,350
Tunceli Province,≤100
Unknown,≤100
Uşak Province,183
Van Province,202
Yalova Province,158
Yozgat Province,132
Zonguldak Province,4239
Çanakkale Province,263
Çankırı Province,≤100
Çorum Province,204
İzmir Province,2011
Şanlıurfa Province,504
Şırnak Province,130
