Location name,Amount spent (PKR)
Azad Kashmir,754
Balochistan,2640
Federally Administered Tribal Areas,257
Gilgit-Baltistan,510
Islamabad Capital Territory,1948
Khyber Pakhtunkhwa,9527
Punjab,31595
Sindh,13249
Unknown,≤100
