Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
108032181861181,Suno News HD,Suno News HD,15499,1
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,6998,23
102384149455341,PMLN Lahore Official,PMLN Lahore Official,6376,6
97429917898,ProPakistani,ProPakistani,6098,3
594606007235747,Abdul Aleem Khan,Abdul Aleem Khan,4977,1
711613789653734,Yateer,Yateer,4425,6
245084059947163,فخرے دیپال پور,فخرے دیپال پور,4217,10
112689834835163,Ahmed Raza,Ahmed Raza,3788,3
2062509050683435,Senator Dr Abdul Kareem,Senator Dr Abdul Kareem,3724,4
448981518645687,Chaudhary Shahid Bashir,Chaudhary Shahid Bashir,3316,3
640801849421593,Aimal Wali Khan,Aimal Wali Khan,2979,1
107703715013954,JTR Media House,JTR Media House,2584,1
126650954075539,Markazi Jamiat Ahle Hadees Pakistan مرکزی جمعیت اہلحدیث پاکستان,Markazi Jamiat Ahle Hadees Pakistan مرکزی جمعیت اہلحدیث پاکستان,2560,2
103290225671883,Blue Properties.com,Blue Properties.com,2041,1
111791888503468,Hafiz Shahid Ghug,Hafiz Shahid Ghug,1574,1
109771132134070,کتابوں کی بستی,Zauq E Adab,1208,3
101080725159933,Allama Shabbir Hasan Maisami,Allama Shabbir Hasan Maisami,1067,6
105690462092880,MM News,M M DIGITAL (PRIVATE) LIMITED,1060,1
109120380422173,Rana Sajjad,Rana Sajjad,1033,1
1984101831869501,Shah Nawaz PTI,Shah Nawaz PTI,1033,2
117570394575101,Rai Waqas Aslam Kharal,Rai Waqas Aslam Kharal,1000,3
1848843992016589,Bhatti Book Centre,These ads ran without a disclaimer,948,1
127593717315049,Jamaat-e-Islami Islamabad,Jamaat-e-Islami Islamabad,888,1
420026288429590,Balochistan Today,Balochistan Today,740,3
100699739075160,Haider Munir Journalist,Haider Munir Journalist,700,1
