Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,435
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,189
Erbil Governorate,376
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,110
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,110
Nineveh Governorate,143
Saladin Governorate,≤100
Sulaymaniyah Governorate,290
Unknown,≤100
Wasit Governorate,≤100
