Location name,Amount spent (COP)
Amazonas,767
Antioquia,3454439
Arauca,25546
Atlantico,521218
Bolivar,272592
Boyaca,60022
Caldas,331877
Caqueta,37106
Casanare,20285
Cauca,127529
Cesar,38575
Choco,40184
Cordoba,178508
Cundinamarca,512954
Distrito Especial,1861484
Guainia,391
Guaviare,15045
Huila,95921
La Guajira,46528
Magdalena,55835
Meta,232746
Narino,39644
Norte de Santander,197522
Putumayo,64137
Quindio,114327
Risaralda,858495
San Andres y Providencia,1332
Santander,204027
Sucre,121854
Tolima,212420
Unknown,≤100
Valle del Cauca,2498410
Vaupes,171
Vichada,245
